District,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Taplejung,10074,10942,12303,9568,11541,12293,12041,13923,15071,13077,12807,12153,12248
Sankhuwasabha,8892,13788,11381,9881,10433,11158,11301,12397,12943,12571,12990,12682,12823
Solukhumbu,5650,9623,8191,6556,7300,8235,7675,8459,9640,8798,9165,8770,8533
Panchthar,15037,21457,27124,15807,16707,16988,16846,18051,20320,17925,18351,17437,17769
Illam,21897,24338,27740,17788,23428,22901,24018,23208,21982,22530,21434,20794,20012
Dhankuta,8944,17711,9394,12365,13197,13611,13767,14367,14490,13794,13400,13075,12865
Terhathum,11428,9945,12737,9352,8998,8876,9249,9467,10072,8710,8289,8643,8453
Bhojpur,13049,13318,13979,14200,14378,14523,14798,15173,16615,15548,15051,14566,13960
Okhaldhunga,15430,12718,29425,10496,10326,11115,10862,12602,14140,13125,13535,12743,12914
Khotang,8970,18583,10930,8864,15876,16211,17357,18333,19124,18466,17914,17281,17647
Udayapur,14928,17127,18715,20037,18355,25116,24605,26916,30603,28982,28572,28152,27816
Jhapa,44635,45105,49813,50515,51918,53307,51363,53496,54820,52748,52140,53662,57875
Morang,46937,51157,55363,50541,51616,49198,49835,46488,50579,51885,51624,50858,52410
Sunsari,31243,32668,38980,33648,34417,37114,37644,35954,46748,45621,44410,43733,45981
Saptari,20829,24260,18984,23087,27800,11854,23002,27222,31770,27841,31583,31583,32089
Siraha,19723,22282,18548,19786,21168,21306,22211,22098,32687,32450,32838,32229,31373
Dolakha,10410,14319,11987,12394,13447,14483,14619,16040,17337,16462,16564,16188,14092
Sindhupalchok,13036,25889,16281,13177,14125,18435,16965,19486,22234,23815,22048,21322,19772
Rasuwa,1538,1321,2649,2370,2597,2780,2926,3214,3435,3317,3404,3175,2785
Sindhuli,12136,13949,14423,14103,14060,18350,19080,21595,27318,26157,24498,24269,25046
Ramechhap,11279,9406,10177,13791,15320,17631,18184,19942,21208,19558,19247,18286,18012
Kavrepalanchok,23589,28080,26356,28392,296264,30771,30788,32829,32275,31374,30421,29738,33335
Nuwakot,14503,39819,19105,17192,18049,18839,19539,20164,21554,19518,19813,19277,19515
Dhading,16534,42838,17726,20019,20928,22873,17985,24614,27476,27747,28199,28282,25889
Makwanpur,20647,25322,21043,22906,24239,27656,28189,29959,30663,30737,30211,29695,28958
Lalitpur,28081,22876,37117,25360,33708,31651,29422,28657,32497,32180,32966,32770,36889
Bhaktapur,15588,15761,13389,15690,15783,18670,18514,18840,20260,18416,16684,18475,20618
Kathmandu,75276,65598,73060,60478,94997,81073,82283,91027,96368,94375,94939,96423,102966
Dhanusa,21832,25354,26944,16193,34110,21768,19912,25944,30133,35758,35653,36308,35543
Mahottari,12610,14561,13231,13492,15298,15513,17316,23422,30816,32850,33483,34919,35999
Sarlahi,19339,16979,10118,16200,18384,20396,24150,25308,29584,31455,31621,30457,32471
Rautahat,12157,11164,12161,13392,14988,16591,18005,19545,28287,27855,28050,28334,27337
Bara,18849,14063,16873,18546,18967,19011,20719,26931,25314,35071,35332,36673,33928
Parsa,5679,5679,12999,15960,19439,19834,17630,22132,22873,23946,24563,25004,24445
Chitwan,34986,40492,36468,42109,13331,14348,43318,42801,41487,42797,40268,39689,44201
Manang,274,232,276,226,230,224,232,230,260,221,245,206,238
Mustang,389,431,425,502,523,541,549,532,585,524,574,703,594
Gorkha,19277,25890,19244,19653,20899,22006,22385,23237,23211,23528,23262,23239,23149
Lamjung,12689,13125,13685,13553,13778,13869,14030,14647,14826,14098,14403,14013,13049
Tanahu,24609,30775,25173,24326,24669,25246,25221,26100,26823,27744,26763,25979,27432
Syangja,27783,31879,27718,29208,26491,27382,27255,27227,25306,24458,24744,24417,22773
Kaski,29392,35807,32166,35235,36232,36514,36717,36194,35812,36430,36584,37173,36800
Myagdi,7724,9554,7479,7685,7938,8015,8063,8283,9174,9282,9838,9519,9802
Parbat,12331,13457,11870,12743,12839,12907,12787,12969,12028,12019,10313,10956,10806
Baglung,19071,24922,20885,19037,20593,21526,21035,21685,22511,22658,22649,23048,22601
Gulmi,21209,21950,22258,23252,22774,22974,23725,22593,22857,21750,22371,21949,22473
Palpa,20291,25038,20113,20954,21925,22300,22451,22814,23371,22941,22615,22094,22381
Arghakhanchi,16833,21499,15940,15886,15763,16029,16539,16517,16772,16580,15905,16355,16036
Nawalparasi,32542,32226,36257,36195,37795,38254,39296,44503,47669,48042,48796,48383,48847
Rupandehi,37386,36244,38783,41260,40058,36585,43084,42358,51331,55812,54852,57344,58527
Kapilvastu,16513,12876,16466,17417,18323,19464,20493,23061,28848,29512,29705,32352,33435
Dolpa,738,882,880,925,1112,1217,1354,1582,2229,2005,2248,2273,2275
Jumla,2292,2418,3243,3001,3223,4658,4968,6009,6411,8382,8465,8346,7320
Kalikot,2900,5087,3243,4457,5615,6761,6886,8454,12307,13164,13421,14358,14672
Mugu,1160,1409,1383,1547,1739,1950,2050,2737,4950,5144,5503,6076,5746
Humla,1132,1229,1177,1359,1508,1625,1894,1662,2596,3160,2867,2867,3032
Pyuthan,9993,10400,11220,11453,12503,13003,13815,15127,17182,17987,18185,18185,18214
Rolpa,7147,7975,10313,7447,9380,10537,11446,12192,15668,17023,17632,17288,18202
Rukum,8701,16727,10423,6877,9835,12156,12594,15257,18398,21009,21013,22958,22043
Salyan,9163,22626,10423,12290,13757,15813,16328,17332,23216,23958,24478,24724,24832
Surkhet,18205,25740,19320,19735,23780,25360,26547,25592,34869,33144,33216,32500,32518
Dailekh,10681,9610,15012,12658,14148,15656,16180,20186,26751,26581,27177,27155,25826
Jajarkot,4637,5036,4809,4276,6418,9252,9954,13464,16532,18477,18025,17901,18260
Dang,28337,31327,32436,33730,35362,36449,38013,37725,44855,37595,43662,43993,44116
Banke,16332,18114,22211,18373,21678,22429,22350,25344,29936,31067,31068,30581,30808
Bardiya,21047,32551,30560,30128,30254,31999,32490,34705,40681,38632,38006,38262,39283
Bajura,3154,3181,4219,4128,5107,5995,6217,7359,11228,12120,11944,12038,11932
Bajhang,6067,10438,6471,7471,9217,11073,10980,11504,14250,15933,17001,17001,18358
Darchula,6974,11443,7176,7322,7359,7542,7838,8841,10418,10911,11586,11805,10965
Achham,8084,14548,9910,9004,10869,12844,13041,15806,21047,21889,22825,23630,23272
