Region/District,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Taplejung,1049,1049,996,769,1187,1250,1339,3127,1646,1646,1696,1710,1752
Sankhuwasabha,1108,1132,1028,922,1343,1469,1470,1513,1740,1751,1804,1818,1861
Solukhumbu,819,802,178,650,931,879,769,879,1159,1159,1194,1205,1236
Panchthar,1293,689,387,1028,1551,1551,1578,1661,2264,2264,2331,2353,2414
Illam,1715,1464,1366,1023,1932,2161,2242,2215,2383,2383,2453,2474,2534
Dhankuta,899,996,1007,843,1136,1192,1309,1335,1451,1454,1498,1512,1550
Terhathum,1106,840,803,732,1013,1022,1127,1074,1141,1141,1174,1184,1213
Bhojpur,1263,1263,589,587,1254,1385,1443,1567,1726,1726,1777,1791,1833
Okhaldhunga,1146,858,632,794,1143,1134,1284,1256,1540,1540,1587,1602,1643
Khotang,959,576,976,232,709,1631,1846,1688,1947,1947,2001,2019,2068
Udayapur,1229,891,997,999,1400,1572,1856,1572,2171,2171,2237,2258,2316
Jhapa,3727,4078,3681,3433,3898,4097,4038,4477,5973,6316,6507,6566,6733
Morang,3139,3091,3026,2020,3651,3341,3509,3451,3575,3575,3683,3715,3807
Sunsari,2148,2148,948,1814,2779,2849,2408,2849,3278,3603,3713,3747,3841
Saptari,1310,1188,817,1327,1482,1712,879,1712,2026,2148,2211,2230,2283
Siraha,1447,1235,1314,1328,1487,1781,1569,1781,2142,2142,2207,2225,2276
Dolakha,993,993,968,1115,1573,1809,1849,1809,2118,2118,2179,2197,2251
Sindhupalchok,1343,1343,1233,1031,1370,2021,1471,2021,2421,2421,2494,2515,2576
Rasuwa,377,377,336,376,409,426,4387,477,496,502,517,521,533
Sindhuli,948,948,1211,1031,1147,1792,2094,2176,2625,2625,2705,2728,2794
Ramechhap,910,910,943,886,1443,1569,1722,1773,2010,2010,2071,2089,2141
Kavrepalanchok,2715,2715,2331,2855,2949,4135,3270,4135,4311,4423,4555,4596,4711
Nuwakot,1182,1182,1224,1094,1694,1921,1921,2078,1892,1892,1950,1967,2014
Dhading,1261,1261,1247,1185,805,2506,982,2724,3186,3233,3331,3362,3448
Makwanpur,2099,2099,1571,1661,2397,2645,2185,2802,3441,3441,3543,3575,3665
Lalitpur,2694,2694,1872,2532,2866,3337,2932,3337,3274,3742,3844,3884,3991
Bhaktapur,2044,2044,1944,2322,1341,2652,2067,2652,2749,2749,2832,2863,2946
Kathmandu,6320,6320,7652,7946,6278,8994,7038,8994,8522,8522,8798,8897,9160
Dhanusa,1882,1882,1339,1131,1287,1711,1546,1796,1898,1898,1955,1970,2015
Mahottari,1178,1178,1174,979,1245,1628,1397,1628,1879,1879,1935,1952,1999
Sarlahi,1591,1591,173,917,1167,1549,1752,1758,2133,2133,2198,2216,2269
Rautahat,1227,1227,717,1110,1315,1550,973,1550,1842,1959,2017,2033,2081
Bara,2078,2078,1194,1485,1261,1714,1626,1714,2276,2276,2335,2353,2407
Parsa,1952,1952,937,1344,1588,1702,1615,1702,2097,2097,2161,2179,2231
Chitwan,3030,3030,2184,2151,1032,3027,3510,3193,3911,3911,4029,4068,4176
Manang,132,132,131,125,138,151,137,151,144,144,149,151,155
