District,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Taplejung,39418,45065,40785,40021,40542,47795,47840,50561,49586,41361,38309,36526,33117
Sankhuwasabha,33939,33751,35623,34773,35395,36251,36790,36993,32991,30961,28706,27334,25719
Solukhumbu,22767,24495,25177,24949,24926,28254,26856,25504,24941,22644,21102,20932,20410
Panchthar,48948,51506,49311,48424,51287,49984,48122,49442,45281,38737,35061,33809,31059
Illam,54280,51500,65421,49463,50189,49285,52191,47599,40064,38064,34522,32955,32955
Dhankuta,24285,24503,32309,32161,31629,32068,31921,31781,26506,24294,22854,22656,20767
Terhathum,30758,32471,24099,25670,26711,26969,27191,27589,26746,18462,16947,15372,14966
Bhojpur,40893,39989,42631,42838,42247,41310,41699,41367,36581,32129,30400,29631,26535
Okhaldhunga,57396,48076,33346,33430,33788,34108,34497,36103,31671,27857,26341,24628,23685
Khotang,30096,31056,48639,56698,40265,62204,60151,58976,49849,47795,44854,43961,41894
Udayapur,57607,60630,66920,69241,56812,68367,66347,66288,61412,54790,50259,49522,45751
Jhapa,117741,111932,130488,118914,117786,119937,114837,116703,105872,100931,100469,99254,99079
Morang,138899,124745,178642,148668,145877,150922,148871,144119,122365,112644,109641,108252,106666
Sunsari,83570,86263,115145,105260,99829,110903,107934,107636,125239,113468,108275,106701,105010
Saptari,68931,80535,96354,110973,98048,73094,106011,100410,108194,87018,86569,86569,90082
Siraha,76047,76310,90144,101562,96335,109112,108365,102798,109479,101039,95463,93501,88649
Dolakha,39352,39331,41588,43941,42389,42981,44362,45218,38888,34320,31148,30027,28739
Sindhupalchok,55139,53503,58401,58579,49889,62419,57626,62713,56959,56910,50593,48934,42904
Rasuwa,8369,8386,9491,9415,9359,8985,9351,8941,8667,7918,7493,6538,5638
Sindhuli,53239,43056,64020,64908,66944,80690,82754,85909,78230,65101,60665,59082,54201
Ramechhap,48307,47533,45874,50196,50445,51014,51385,51339,42738,36273,33352,32383,28819
Kavrepalanchok,72313,73248,77086,76739,78471,79545,79016,79114,68647,62418,58668,56650,58467
Nuwakot,50163,56838,61016,60023,58944,57468,59972,58927,52164,45593,43265,41485,38345
Dhading,68039,83557,71097,73004,73253,74177,58124,73928,66978,60114,56369,56558,51949
Makwanpur,80254,75419,84171,87178,89002,95316,93477,91316,81397,74022,69993,69061,67401
Lalitpur,61085,52562,70765,60946,58867,62865,59312,55283,58500,57014,58150,57896,61387
Bhaktapur,33837,32027,33826,33450,28606,33010,32777,32119,32395,31804,28089,28773,30233
Kathmandu,144135,143536,164423,139716,147394,155034,155489,172268,182080,172232,171107,169679,185783
Dhanusa,82297,91524,128811,104299,92533,112806,104814,122980,118155,123856,119414,117632,123543
Mahottari,55951,55272,62376,87914,85778,105542,104866,122143,126361,134087,130924,127363,123106
Sarlahi,90214,68895,83297,79410,79933,97485,120180,137645,155996,164862,163848,163497,154034
Rautahat,59457,59715,61869,81126,85618,108625,113140,121653,156292,136479,132358,127630,122770
Bara,79792,75443,88678,100046,88935,116044,124586,159221,134080,164065,157470,162251,155144
Parsa,67865,67865,90700,83739,83626,98374,96152,120616,103962,109990,110046,105600,101385
Chitwan,87793,89422,87058,89729,84253,85380,85989,83436,78516,77460,73030,71088,77954
Manang,774,674,701,654,649,551,546,539,516,418,408,368,285
Mustang,2005,2020,1465,1830,1819,1772,1683,1737,1787,1590,1513,1829,1505
Gorkha,63316,61888,62320,60616,57582,56893,57094,54796,49559,47564,43053,43923,40421
Lamjung,42372,40401,39518,41241,39234,37940,38528,37459,31803,27742,26515,25556,22175
Tanahu,73222,67086,66489,65236,61574,58865,59632,60011,54795,54087,50090,50014,46286
Syangja,67733,63964,61651,58916,52804,56848,56750,55875,47644,43571,40788,40060,35407
Kaski,74465,74340,72445,73974,71541,70179,70853,69410,62751,62808,62564,60271,58130
Myagdi,24168,23054,23489,22568,22604,22502,21820,21960,19410,18068,17342,16066,15642
Parbat,34941,33415,16155,32055,32886,33047,32744,31919,24002,22482,17792,18133,16104
Baglung,55602,56135,57182,57564,60435,63206,63130,63944,54353,52588,49316,48871,45222
Gulmi,66069,62485,61774,65892,66350,66447,67749,61928,55422,49864,48169,47852,44086
Palpa,64263,60469,63650,62434,61408,59663,60133,58189,47443,43914,42146,41540,38136
Arghakhanchi,45923,50170,48158,46279,47144,47046,47276,44565,39997,37487,35566,33921,29932
Nawalparasi,96802,96987,122471,112371,114472,114607,119067,126971,113638,103427,101161,99732,95954
Rupandehi,117532,99452,235039,129095,120132,119741,130003,128946,129943,131448,128688,133631,133612
Kapilvastu,59931,57003,73119,77143,79835,101788,104097,109001,111103,106647,103870,103484,105528
Dolpa,5310,5590,5481,6081,6583,6345,6478,6603,7269,6892,6906,6520,6013
Jumla,13424,11063,17501,18914,18043,22799,23681,26182,25100,26752,23262,23111,20311
Kalikot,17946,20791,22487,28221,29400,36554,36465,37787,35145,35326,34734,35292,34909
Mugu,5935,6804,7303,8904,9577,10865,11058,11749,10133,10824,10541,11040,10888
Humla,5990,6919,7788,9043,9250,10993,11664,9005,12548,14376,12042,12042,11794
Pyuthan,46483,51787,50440,49057,49938,51528,52785,50872,49776,47950,48069,48069,47047
Rolpa,39058,37013,41487,43618,43379,51500,53657,57076,56070,53913,51837,50640,47468
Rukum,42029,44956,46194,45369,43270,56195,55359,65419,68804,65217,62460,61799,59730
Salyan,48275,59423,54795,53397,58528,59704,59391,57076,57363,50966,51895,49905,46293
Surkhet,61903,63140,70462,69874,72045,75527,74980,73008,79441,74347,72850,71859,66941
Dailekh,41277,45709,55737,58412,57608,69881,68546,77191,64216,64024,62041,61672,59893
Jajarkot,22261,40444,31098,32144,32613,47777,46393,54996,63417,60303,55973,55293,56072
Dang,85213,90498,98389,98300,97110,95688,101900,9116,85393,80251,81113,79915,81579
Banke,57088,59717,76720,75911,83205,87613,87158,93176,91322,91487,89245,87750,85237
Bardiya,74230,78182,85021,93567,81744,81402,82300,79880,72562,67768,65686,65362,67846
Bajura,19671,20916,25833,26903,27174,32754,33216,33015,35457,34467,32348,31596,25845
Bajhang,29828,33292,34441,42863,44663,59714,56938,55160,55357,53371,50211,49780,48928
Darchula,23678,23891,23966,24801,23833,27993,29220,30011,29629,27809,26082,24679,20861
Achham,40578,47541,54257,60593,63506,70439,68314,76442,72497,67118,62829,61415,58660
Doti,36723,37356,42408,45440,47139,51232,47565,52188,49277,46020,45314,43385,41851
Dadeldhura,22301,27677,27650,29513,30607,30722,31201,30283,28799,27422,26675,25187,21839
Baitadi,38974,40262,40796,52085,53073,60286,61457,64034,64092,60267,58659,57557,54903
Kailali,130220,120569,118700,126125,132310,135688,128433,125682,122814,131430,128386,126292,133717
Kanchanpur,65003,66995,80959,74655,67724,71696,76371,72922,64456,67976,67887,66214,64865
Nepal,4025692,4030045,4502697,4515059,4418713,4782313,4828630,4986805,4782885,4576693,4401780,4335355,4220061
