District,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Taplejung,147,147,131,119,165,180,176,186,232,232,241,244,249
Sankhuwasabha,142,142,118,125,173,200,194,226,294,295,306,309,315
Solukhumbu,116,116,32,96,154,145,84,145,164,164,171,173,177
Panchthar,201,201,52,137,186,170,211,170,341,343,355,360,367
Illam,281,281,130,131,239,270,317,294,401,400,414,419,427
Dhankuta,152,152,151,142,191,220,224,242,296,292,303,307,314
Terhathum,175,175,138,117,143,157,172,165,186,188,193,195,199
Bhojpur,178,178,62,62,191,195,230,252,256,263,273,276,282
Okhaldhunga,142,142,60,92,134,142,157,165,255,256,265,269,274
Khotang,114,114,87,51,102,209,231,209,300,300,311,314,320
Udayapur,228,228,153,144,196,243,288,243,288,367,380,385,394
Jhapa,813,813,633,723,788,904,894,1192,1715,1712,1773,1796,1833
Morang,793,793,518,345,688,543,638,597,641,641,662,670,684
Sunsari,537,537,247,385,578,586,484,586,664,663,687,695,709
Saptari,247,247,125,235,83,274,159,277,335,336,348,353,360
Siraha,242,242,176,166,233,276,261,276,310,317,328,332,338
Dolakha,131,131,134,161,197,233,258,298,358,362,375,380,387
Sindhupalchok,157,157,138,117,180,245,196,245,424,423,439,444,453
Rasuwa,43,43,33,40,40,45,52,52,75,75,77,78,80
Sindhuli,193,193,157,170,142,294,325,311,402,401,415,420,429
Ramechhap,117,117,104,119,204,184,280,246,327,342,353,358,365
Kavrepalanchok,560,560,462,696,664,1207,791,1207,1356,1372,1417,1435,1467
Nuwakot,169,169,223,176,249,263,301,266,284,284,295,298,304
Dhading,154,154,137,146,106,395,102,405,469,512,531,537,548
Makwanpur,277,277,161,259,247,399,192,405,574,587,607,616,631
Lalitpur,1636,1636,513,1178,1226,1404,1326,1404,1424,1422,1470,1489,1523
Bhaktapur,708,708,619,696,436,946,791,946,1217,1253,1299,1316,1346
Kathmandu,3534,3534,2512,3058,2370,4232,3348,4232,4221,5051,5228,5301,5440
Dhanusa,486,486,233,143,179,291,268,293,349,348,360,365,372
Mahottari,218,218,187,163,173,218,224,218,277,277,287,290,296
Sarlahi,168,168,17,121,189,264,217,264,264,264,274,277,283
Rautahat,195,195,144,167,190,248,157,250,265,276,286,289,295
Bara,174,174,175,224,122,203,230,203,243,243,253,256,261
Parsa,285,285,123,251,222,227,267,274,274,274,283,287,293
Chitwan,608,608,451,557,321,613,929,613,1048,1046,1084,1098,1122
Manang,21,21,21,19,21,22,21,22,22,22,23,23,23
Mustang,50,50,47,46,44,50,56,50,56,56,58,59,60
Gorkha,260,260,221,179,227,335,336,354,390,393,408,413,421
Lamjung,263,263,188,190,227,260,329,260,357,359,371,376,384
Tanahu,459,459,367,428,300,492,487,581,659,660,684,693,709
Syangja,397,397,592,361,452,555,550,619,782,781,809,819,835
Kaski,1141,1141,891,1232,1124,1209,1307,1209,1525,1523,1577,1597,1630
Myagdi,146,146,109,116,154,139,180,139,175,245,253,256,261
Parbat,262,262,222,221,292,306,327,306,358,358,372,377,384
Baglung,333,333,214,276,331,404,437,489,473,483,501,507,517
Gulmi,346,346,258,279,296,356,435,465,522,521,539,546,556
Palpa,320,320,230,198,330,356,206,415,536,529,547,554,566
Arghakhanchi,222,222,177,179,243,226,258,226,314,310,323,327,334
Nawalparasi,465,465,267,375,186,548,612,708,750,882,913,925,944
Rupandehi,874,874,463,758,497,611,774,808,1656,1653,1710,1731,1767
Kapilvastu,198,198,162,228,241,351,340,351,482,481,498,504,514
Dolpa,34,34,34,17,40,43,44,43,74,74,77,78,79
Jumla,60,60,54,38,88,76,82,77,124,124,129,130,133
Kalikot,71,71,74,52,90,85,100,108,157,160,165,167,171
Mugu,45,45,45,38,60,47,5,47,65,67,70,71,72
Humla,24,24,23,19,19,26,26,27,59,59,60,61,62
Pyuthan,128,128,115,109,155,152,191,323,237,237,246,249,254
Rolpa,73,73,50,91,89,89,109,110,166,167,171,173,176
Rukum,101,101,4,0,12,133,154,133,176,216,224,227,231
Salyan,104,104,34,92,145,149,148,142,153,153,159,161,165
Surkhet,224,224,169,152,256,249,298,249,329,329,340,344,352
Dailekh,117,117,105,84,143,184,137,184,225,225,233,236,241
Jajarkot,53,53,11,33,73,87,82,84,119,164,170,172,175
Dang,313,313,284,400,511,406,485,606,598,597,619,627,640
Banke,285,285,131,153,271,370,317,375,582,591,612,620,634
Bardiya,192,192,166,155,239,262,263,283,325,324,336,341,348
Bajura,84,84,70,79,77,96,90,108,183,183,190,192,195
Bajhang,128,128,116,117,190,194,220,242,306,305,315,319,325
Darchula,125,125,103,107,129,158,148,161,208,212,219,221,226
Achham,157,157,108,91,132,140,192,142,326,325,338,342,349
Doti,138,138,116,115,155,134,206,237,261,261,271,275,281
Dadeldhura,120,120,77,94,126,126,146,203,277,279,288,291,297
Baitadi,148,148,159,148,199,253,259,253,333,338,351,355,362
Kailali,265,265,202,291,572,229,461,346,443,459,475,481,491
Kanchanpur,230,230,115,296,235,355,405,355,363,362,376,381,389
Nepal,23297,23297,16130,19386,20674,26925,26197,29109,35675,37048,38363,38858,39690
