District,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Taplejung,4347,4830,3969,7025,4378,5175,4898,6174,6456,5589,5749,5500,5483
Sankhuwasabha,3403,4491,3345,6957,4345,4941,5063,5360,5351,5424,5193,5401,5482
Solukhumbu,2180,4192,4224,4239,3147,3506,3416,3751,4444,3985,4267,4339,6583
Panchthar,5746,7589,5818,11038,7853,8707,8334,9139,9595,9239,8995,7993,8849
Illam,7067,8506,14118,7957,9252,10337,10751,10430,9567,9523,8673,8673,8673
Dhankuta,3810,7120,5818,5170,5757,6451,6475,6682,6941,6773,6877,6877,6553
Terhathum,5486,4291,3922,6348,4841,5081,5149,4992,4955,4629,4394,4231,4231
Bhojpur,5284,5276,6046,5576,6276,6907,6991,7177,7442,7087,7176,6600,7118
Okhaldhunga,7772,7762,4243,6293,5144,5491,5445,6519,6702,6485,7014,6585,6045
Khotang,3844,8950,9319,3284,6852,8435,9073,9906,9482,9629,9275,8573,8602
Udayapur,5680,7460,7593,14013,8424,12217,11896,12532,14166,13908,13708,13311,13418
Jhapa,21059,19470,24765,25392,26662,28838,27777,28062,26468,26049,26803,26803,27458
Morang,30590,24938,32017,26444,26936,25235,25583,22633,25966,23753,28021,28178,29003
Sunsari,16144,17316,24467,23135,18897,20389,20205,19427,24575,24362,21584,22005,21780
Saptari,7691,11295,9041,15982,12236,6179,12087,13469,13688,12479,17268,17268,17518
Siraha,8744,11462,7902,13600,10370,11413,11093,9968,12671,15413,16571,16571,16841
Dolakha,3787,5674,4984,5243,5934,6778,3559,3393,8239,8229,8055,7991,7805
Sindhupalchok,5228,7541,6040,9509,6417,8374,4052,4278,10261,11744,10829,11323,10564
Rasuwa,897,614,1338,1754,1023,1266,684,679,1652,1813,2002,1764,1652
Sindhuli,6873,5955,5499,1084,6110,9032,4820,4625,11451,11592,13161,13161,12580
Ramechhap,4125,9406,3975,10178,6490,7576,3909,3943,10279,10696,10881,10224,10056
Kavrepalanchok,10143,11192,11479,12986,13990,15887,7809,7681,17440,17404,17123,17077,17956
Nuwakot,6534,9347,8920,6871,8024,8931,4501,4119,10257,9689,11698,10326,11118
Dhading,6618,12601,7770,8097,8912,10333,4009,4774,12812,12657,13027,13027,13688
Makwanpur,7844,9843,8254,9241,9787,11556,5694,5503,12706,11269,11953,11953,11360
Lalitpur,14884,11470,17137,1372,17276,17027,16062,16130,19133,19542,19548,19548,21886
Bhaktapur,7474,7736,6549,9596,9311,10924,10553,11421,11309,12187,9863,11508,13084
Kathmandu,35910,35345,45791,33656,52811,4628,46723,52667,53784,56521,55087,55087,58752
Dhanusa,10276,12222,8047,6567,18968,10473,8791,12254,12411,15341,16929,16929,16069
Mahottari,5974,5918,5951,5451,6858,6872,7340,9095,10371,12996,15844,15844,15070
Sarlahi,9188,7598,4213,11621,9012,8763,10661,11739,11847,13699,16360,16360,17865
Rautahat,6619,6246,6524,9293,7394,8412,3960,4620,13449,14258,15636,15636,16010
Bara,7366,6807,7825,8237,8836,9420,9450,12131,10874,16011,12698,12698,12698
Parsa,1278,1278,5220,11080,8537,8770,7405,9628,9894,9519,5997,5997,6297
Chitwan,16011,16244,16525,15892,20789,20638,21666,23563,23737,23200,22403,22403,25386
Manang,146,127,273,131,127,110,111,137,125,132,121,124,112
Mustang,178,207,181,226,222,254,254,262,290,256,259,259,333
Gorkha,7350,9010,6932,7844,8445,9292,9462,9860,11053,11612,11807,11807,11239
Lamjung,5137,6243,5567,5862,6013,6580,6621,7197,7374,7547,7668,7683,7423
Tanahu,10576,11481,9936,17387,11361,11559,11369,12399,13013,13345,12767,12765,13676
Syangja,12779,16100,12663,19919,13457,14834,14997,15521,14792,14094,14511,14511,14927
Kaski,13495,14341,15089,17751,17921,19131,19340,20069,20923,21040,21586,21779,22425
Myagdi,2903,3092,3053,3426,3555,3934,3928,4311,4517,4573,5222,5100,5134
Parbat,6167,6984,5941,8763,6902,7218,6980,7283,6934,7020,3753,6789,7942
Baglung,7729,11128,9615,8472,9666,10940,10818,11326,10839,11389,12370,12370,9729
Gulmi,9249,10478,11461,10499,11282,12038,12511,11926,11771,11051,10443,10443,9783
Palpa,8747,13069,8546,14714,10273,10849,10793,11011,11532,9914,10739,10739,12085
Arghakhanchi,6793,7031,7811,7957,8703,8934,8740,7627,8491,7366,7643,7387,8238
Nawalparasi,11505,12969,16011,16171,18051,19152,10158,21615,23450,22982,23986,23986,24236
Rupandehi,16164,15402,18641,28228,19209,16832,10860,20135,25482,26562,26527,26527,26946
Kapilvastu,6190,6007,6056,6891,7571,8923,5199,10338,11477,13001,14144,14144,15242
Dolpa,278,330,437,409,590,591,621,726,847,915,1253,1363,1416
Jumla,768,728,1098,1246,1668,2807,2679,2919,2825,3348,3081,3081,3847
