Faculty,Tribhuvan  University (TU),Kathmandu University (KU),Pokhara University (PoU),Purbanchal University (PU),Nepal Sanskrit University (NSU),B.P Koirala Institute of Health Science (BPKIHS),Total
Science and Technology,3665,202,1184,-,-,-,5051
Management,14543,364,2008,-,-,-,16915
Humanities,11038,137,101,-,-,-,11276
Education,20265,101,-,-,-,-,20366
Law,482,-,-,-,-,-,482
Engineering,1804,246,-,-,-,-,2050
Medicine,1042,1002,-,-,-,248,2292
Forestry,105,-,-,-,-,-,105
Agriculture,250,-,-,-,-,-,250
Animal Science,15,-,-,-,-,-,15
Ayurveda,-,-,-,-,-,-,-
Sanskrit,-,-,-,-,-,-,-
Total,53209,2052,3293,-,-,248,58802
