Level,Tribhuvan  University (TU),Kathmandu University (KU),Pokhara University (PoU),Purbanchal University (PU),Nepal Sanskrit University (NSU),B.P Koirala Institute of Health Science (BPKIHS),Total
Science and Technology,5145,191,1318,750,-,-,7404
Management,16057,401,2505,1522,-,-,20485
Humanities and Social Science,11830,242,113,221,-,-,12406
Education,-,-,-,-,-,-,-
Law,569,-,-,133,-,-,702
Engineering,-,-,-,-,-,-,-
Medicine,993,1120,-,1222,-,-,3335
Forestry,-,-,-,-,-,-,-
Agriculture,-,-,-,-,-,-,-
Sanskrit,3,-,-,-,-,-,3
Buddism,-,-,-,-,-,-,-
Total,34597,1954,3936,3848,-,-,44335
